center_x,center_y,left_x,left_y,right_x,right_y,left_center_x,left_center_y,right_center_x,right_center_y,road_speed,rightcenter_cur,leftcenter_cur,in_bend
455.602542607782,-240.616024158977,455.730272973501,-236.8682001298,455.474812242063,-244.363848188153,455.666407790642,-238.742112144388,455.538677424923,-242.489936173565,11.1111111111111,0.00497134800101586,0.00488642869053562,1
456.102252348205,-240.633054869971,456.239449455997,-236.88556544989,455.965055240413,-244.380544290051,456.170850902101,-238.759310159931,456.033653794309,-242.506799580011,11.1111111111111,0.00507620860385491,0.0049875544190737,1
456.601917468616,-240.651347812712,456.74877560591,-236.904224557799,456.455059331321,-244.398471067625,456.675346537263,-238.777786185255,456.528488399968,-242.524909440168,11.1111111111111,0.0051810592532834,0.00508859547512681,1
457.101533761426,-240.670928892151,457.258247094187,-236.924204865574,456.944820428666,-244.417652918729,457.179890427807,-238.797566878863,457.023177095046,-242.54429090544,11.1111111111111,0.00528589894841681,0.00518955102204885,1
457.601096818105,-240.691823997043,457.767859381696,-236.945533799076,457.434334254513,-244.43811419501,457.6844780999,-238.81867889806,457.517715536309,-242.564969096027,11.1111111111111,0.00539072668904546,0.00529042022500217,1
458.10060202517,-240.714058998726,458.277607714831,-236.968238796711,457.923596335509,-244.459879200742,458.18910487,-238.841148897719,458.012099180339,-242.586969099734,11.1111111111111,0.00549554147564397,0.00539120225098241,1
458.6000445602,-240.737659749855,458.787487121105,-236.9923473081,458.412601999295,-244.482972191609,458.693765840652,-238.865003528977,458.506323279748,-242.610315970732,11.1111111111111,0.00560034230940322,0.00549189626885124,1
459.099419387844,-240.762652083071,459.297492404751,-237.0178867927,458.901346370938,-244.507417373443,459.198455896298,-238.890269437885,459.000382879391,-242.635034728257,11.1111111111111,0.00570512819227578,0.00559250144933417,1
459.598721255843,-240.789061809629,459.807618142323,-237.044884718355,459.389824369364,-244.533238900903,459.703169699083,-238.916973263992,459.494272812603,-242.661150355266,11.1111111111111,0.00580989812696068,0.0056930169650494,1
460.097944691059,-240.816914717954,460.317858678291,-237.073368559801,459.878030703828,-244.560460876106,460.207901684675,-238.945141638877,459.987987697444,-242.68868779703,11.1111111111111,0.00591465111699668,0.00579344199054265,1
